* 0x085f27ee0      94687 RigControlElement
* 0x085f28010          0 
* 0x085f28140      94677 RigControlSettings
* 0x085f28340          0 
* 0x085f28540          0 
* 0x085f28670      95363 RigControlValueStorage
* 0x085f287a0      95351 RigControlLimitEnabled
* 0x085f29080      95714 RigInfluenceMapPerEvent
* 0x085f291b0      95705 RigInfluenceMap
* 0x085f292e0      95681 RigInfluenceEntry
* 0x085f29410      94774 RigHierarchySettings
* 0x085f2d860      30055 DataTableRowHandle
* 0x085f32140     104758 CommonNumberFormattingOptions
* 0x085f33230       7903 Anchors
* 0x085f345c0       7076 FocusEvent
* 0x085f35bf0       7126 MotionEvent
* 0x085f3a2b0      20418 AnimationEventBinding
* 0x085f3a3e0      19727 WidgetChild
* 0x085f3a510      20437 NamedSlotBinding
* 0x085f3d040     104881 CommonRegisteredTabInfo
* 0x085f3f5e0     105931 EmbarkFireOnStateChangedData
* 0x085f3f710      81290 Instigator
* 0x085f3f840          0 
* 0x085f3fac0     105823 EmbarkFireStateChangedDataClient
* 0x085f40150     107486 BoneDamageEventType
* 0x085f40350          0 
* 0x085f40480      80206 GameplayEffectCustomExecutionParameters
* 0x085f40de0     107341 DestructibleBoneHandle
* 0x085f41b20     108405 EmbarkServersideReplicatedInput
* 0x085f41c50     108777 PendulumClaims
* 0x085f41d80     108693 PendulumRootMotionClaim
* 0x085f41eb0     108680 PendulumRootMotionHandle
* 0x085f41fe0          0 
* 0x085f42110     108327 EmbarkRootWarpSpaceTransformData
* 0x085f430a0          0 
* 0x085f431d0     109713 SMStateInfo
* 0x085f43300     109704 SMTransitionInfo
* 0x085f4fd90      30673 RepMovement
* 0x085f4fec0      30657 RepAttachment
* 0x085f4fff0          0 
  0x085f521f0          0 
  0x085f52320      86367 OnlineTweakablesContainer
  0x085f52c30          0 
  0x085f52d60     106466 BlackBoardVariableDeltaCompressionPtr
  0x085f561c0      31147 NetLevelVisibilityTransactionId
  0x085f56ad0      34666 AsyncPhysicsTimestamp
  0x085f57a70          0 
  0x085f595e0      24558 ViewTargetTransitionParams
  0x085f5aac0      34649 UpdateLevelStreamingLevelStatus
  0x085f5db30      36992 StreamingSourceShape
  0x085f60ba0      31164 UpdateLevelVisibilityLevelInfo
  0x085f63580      30732 ActiveForceFeedbackEffect
  0x085f636b0      23642 InputDevicePropertyHandle
  0x085f63d20     103767 ServerUnresponsiveSnapshot
  0x085f63e50          0 
  0x085f63f80     103825 NetworkConnectionInfo
  0x085f64200     111345 CompactPlayerProfile
  0x085f64480      84817 VoiceChannelInfo
  0x085f64ee0      36219 InputActionRecordedState
  0x085f69520          0 
  0x085f69870     112862 ConstructablePartTargetingData
  0x085f699a0     106211 ABBLowCompressedVectorMaxLen200
  0x085f69c70     112878 ConstructablePartTargetingEventData
  0x085f6a580     111816 ConstructablePartTagData
  0x085f6ad40     104066 TransformInterpolatorData
  0x085f6e420     114088 EmbarkAIVisLogInfo
  0x085f76500     115397 SuperUIHotspot
  0x085f76630          0 
  0x085f76760     115412 SuperUIMakeViewContext
  0x085f76890     115405 SuperUIInput
  0x085f79ee0      61063 PioneerOnlineLevelState
  0x085f7a010      61045 PioneerOnlineUnclaimedLevelRewards
  0x085f7a140      61031 PioneerOnlineRewardPackage
  0x085f7a270      61017 PioneerOnlineRandomRewards
  0x085f7a3a0      61004 PioneerOnlineRewardPool
  0x085f7a4d0      60987 PioneerOnlineWeightedRewardItem
  0x085f7a600          0 
  0x085f7adc0      60701 PioneerOnlineProgressionNotification
  0x085f7c510     116939 InventoryValidation
  0x085f7c640     116925 InventoryValidationFailure
  0x085f7cf50          0 
  0x085f7d080      61277 PioneerOnlineCostPackage
  0x085f7d1b0      61265 PioneerOnlineCostItem
  0x085f81fb0      11052 SoundGeneratorOutput
  0x085f820e0     121012 MetaSoundOutput
  0x085f82d80     122448 EmbarkInitializationContext
  0x085f839a0     122882 EmbarkPerfTestSnapshotContext
  0x085f83ad0     122867 EmbarkPerfTestSnapshotConfig
  0x085f84c70     123368 ProtoMessageBP
  0x085f84da0     124500 HiveMetaData
  0x085f84ed0     124492 HiveFloatList
  0x085f85150     123426 HiveStatus
  0x085f85670          0 
  0x085f858f0     123484 HiveChunkResponse
  0x085f85b70     123625 HiveEndpointResponse
  0x085f85df0     123552 HiveExperimentList
  0x085f85f20     123544 HiveExperiment
  0x085f86270     123464 HiveSerializedModel
  0x085f864f0          0 
  0x085f86620     123510 HiveBuild
  0x085f869f0          0 
  0x085f86b20          0 
  0x085f86da0     123849 HiveCompressExperimentResponse
  0x085f87020     124256 HiveCompressRunResponse
  0x085f872a0     124004 HiveCompressTrialResponse
  0x085f87520     124208 HiveContinueRunResponse
  0x085f87650     124116 HiveRun
  0x085f87780     123656 HiveEvent
  0x085f87ad0     123727 HiveCreateExperimentResponse
  0x085f87c00     123662 HiveExperimentV2
  0x085f87e80          0 
  0x085f88100     123928 HiveCreateTrialResponse
  0x085f88230     123876 HiveTrial
  0x085f884b0          0 
  0x085f88730     124232 HiveDeleteRunResponse
  0x085f889b0     123953 HiveDeleteTrialResponse
  0x085f88c30     124090 HiveGetCheckpointChunkResponse
  0x085f88eb0     123698 HiveGetExperimentResponse
  0x085f89130          0 
  0x085f893b0     124059 HiveGetRunCheckpointResponse
  0x085f89630     124142 HiveGetRunResponse
  0x085f898b0     124121 HiveGetRunsResponse
  0x085f89b30     123905 HiveGetTrialResponse
  0x085f89db0     123882 HiveGetTrialsResponse
  0x085f8a030          0 
  0x085f8a2b0     124318 HiveListBuildProvidersResponse
  0x085f8a3e0     124309 HiveProviderInfo
  0x085f8a730     124346 HiveListBuildsResponse
  0x085f8a9b0          0 
  0x085f8ac30     124281 HiveProtectRunResponse
  0x085f8aeb0     124031 HiveProtectTrialResponse
  0x085f8b130     124447 HiveSearchAuthorsResponse
  0x085f8b3b0     124476 HiveSearchExperimentsResponse
  0x085f8b630     124185 HiveStopRunResponse
  0x085f8b8b0     124414 HiveUnlinkTrialsFromExperimentResponse
  0x085f8bb30          0 
  0x085f8bdb0     123978 HiveUpdateTrialResponse
  0x085f8c570     124534 HiveResponseGroup
  0x085f8c6a0     124527 HiveResponse
  0x085f8cbc0     124618 HiveMetaDataResponse
  0x085f8cf90     124558 HiveCheckpointsResponse
  0x085f8d600          0 
  0x085f8d880     124806 HiveExportCheckpointResponse
  0x085f8d9b0     124796 HiveCheckpointInfo
  0x085f8dc30          0 
  0x085f8dd60          0 
  0x085f8de90     124716 HiveResult
  0x085f8e110     124768 HivePushEpisodeResponse
  0x085f8e390     124868 HiveSetValidationMetricsResponse
  0x085f8e8b0          0 
  0x085f8eb30     123385 HivePingResponse
  0x085f8edb0     124899 HiveConnectAsBrainResponse
  0x085f8f030     124934 HiveConnectAsWorkerResponse
  0x085f8f160     124927 HiveEndpoint
  0x085f90020     125368 ObservationSetEntry
  0x085f91620     126810 LoudnessResults
  0x085f918a0     126832 MeterResults
  0x085f91dc0     126839 SynesthesiaSpectrumResults
  0x085f930c0     126988 MeterChannelInfo
  0x085f93dc0     127008 AudioMeterStyle
  0x085fa2930     133021 MoviePipelineOutputData
  0x085fa2a60     133006 MoviePipelineShotOutputData
  0x085fa2b90          0 
  0x085fa2cc0          0 
  0x085fa3ad0     133178 AppleImageUtilsImageConversionResult
  0x085fa6110     133959 LocationServicesData
  0x085fa6310       3046 Axis
  0x085fa6440       3061 NodeChain
  0x085fa6570       3067 NodeObject
  0x085fa66a0       3073 NodeHierarchyData
  0x085fa67d0       3083 NodeHierarchyWithUserData
  0x085fa6900       3097 CCDIKChainLink
  0x085fa6a30          0 
  0x085fa6b60       3116 TransformFilter
  0x085fa6c90       3125 ConstraintDescription
  0x085fa6dc0          0 
  0x085fa6ef0       3146 TransformConstraint
  0x085fa7020       3157 ConstraintDescriptionEx
  0x085fa7150       3170 TransformConstraintDescription
  0x085fa7280       3186 AimConstraintDescription
  0x085fa73b0       3199 ConstraintDescriptor
  0x085fa74e0       3210 ConstraintData
  0x085fa7610          0 
  0x085fa7740          0 
  0x085fa7870       3235 TransformNoScale
  0x085fa79a0          0 
  0x085fa7ad0       7015 TypefaceEntry
  0x085fa7c00          0 
  0x085fa7d30       7028 CompositeFallbackFont
  0x085fa7e60       7040 CompositeSubFont
  0x085fa7f90       7049 CompositeFont
  0x085fa80c0       7082 CaptureLostEvent
  0x085fa81f0       7159 SegmentedControlStyle
  0x085fa8320       7209 CheckBoxStyle
  0x085fa8450       7249 HyperlinkStyle
  0x085fa8580       7286 InlineEditableTextBlockStyle
  0x085fa86b0       7301 ProgressBarStyle
  0x085fa87e0       7310 ExpandableAreaStyle
  0x085fa8910       7321 SearchBoxStyle
  0x085fa8a40       7329 SliderStyle
  0x085fa8b70       7336 VolumeControlStyle
  0x085fa8ca0       7346 InlineTextImageStyle
  0x085fa8dd0          0 
  0x085fa8f00       7372 TableViewStyle
  0x085fa9030       7388 TableColumnHeaderStyle
  0x085fa9160          0 
  0x085fa9290       7408 DockTabStyle
  0x085fa93c0       7415 ScrollBoxStyle
  0x085fa94f0       7423 ScrollBorderStyle
  0x085fa9620       7433 WindowStyle
  0x085fa9750       7687 StyleColorList
